logt,num,r,r-i
6.7,60,-7.739,-0.094
6.7,61,-7.8020000000000005,-0.091
6.7,62,-7.853,-0.087
6.7,63,-7.9079999999999995,-0.084
6.7,64,-7.974,-0.081
6.7,65,-8.031,-0.075
6.7,66,-8.093,-0.067
6.7,67,-8.149,-0.06
6.7,68,-8.218,-0.06
6.7,69,-8.294,-0.059000000000000004
6.7,70,-8.374,-0.057999999999999996
6.7,71,-8.457,-0.054000000000000006
6.7,72,-8.546,-0.046
6.7,73,-8.639,-0.037000000000000005
6.7,74,-8.729,-0.027999999999999997
6.7,75,-8.792,-0.025
6.7,76,-8.871,-0.021
6.7,77,-8.948,-0.016
6.7,78,-9.023,-0.012
6.7,79,-9.091000000000001,-0.004
6.7,80,-9.142999999999999,0.009000000000000001
6.7,81,-9.203,0.02
6.7,82,-9.226,0.027999999999999997
6.7,83,-9.269,0.036000000000000004
6.7,84,-9.321,0.049
6.7,85,-9.377,0.075
6.7,86,-9.439,0.12300000000000001
6.7,87,-9.555,0.311
6.7,88,-9.568,0.447
6.7,89,-9.584,0.451
6.75,0,12.277000000000001,1.588
6.75,1,11.317,1.3880000000000001
6.75,2,10.713,1.288
6.75,3,10.245999999999999,1.218
6.75,4,9.841000000000001,1.158
6.75,5,9.432,1.113
6.75,6,9.02,1.025
6.75,7,8.591000000000001,0.9109999999999999
6.75,8,8.166,0.8190000000000001
6.75,9,7.766,0.7390000000000001
6.75,10,6.952999999999999,0.606
6.75,11,6.167000000000001,0.511
6.75,12,5.474,0.433
6.75,13,4.91,0.38
6.75,14,4.417,0.34299999999999997
6.75,15,3.8810000000000002,0.3
6.75,16,3.465,0.265
6.75,17,3.102,0.22899999999999998
6.75,18,2.8,0.19
6.75,19,2.5140000000000002,0.141
6.75,20,2.262,0.096
6.75,21,2.064,0.059000000000000004
6.75,22,1.9,0.031
6.75,23,1.8259999999999998,0.02
6.75,24,1.704,0.01
6.75,25,1.484,-0.015
6.75,26,1.155,-0.039
6.75,27,0.6970000000000001,-0.06
6.75,28,0.555,-0.065
6.75,29,0.322,-0.07400000000000001
6.75,30,0.006999999999999999,-0.084
6.75,31,-0.254,-0.094
6.75,32,-0.501,-0.10099999999999999
6.75,33,-0.94,-0.11599999999999999
6.75,34,-1.3159999999999998,-0.128
6.75,35,-1.7730000000000001,-0.14
6.75,36,-2.0,-0.146
6.75,37,-2.4859999999999998,-0.155
6.75,38,-2.7910000000000004,-0.16
6.75,39,-3.4589999999999996,-0.17
6.75,40,-3.4789999999999996,-0.171
6.75,41,-4.242,-0.17300000000000001
6.75,42,-4.437,-0.172
6.75,43,-4.821000000000001,-0.16899999999999998
6.75,44,-5.481,-0.163
6.75,45,-6.294,-0.13699999999999998
6.75,46,-6.81,-0.121
6.75,47,-7.188,-0.10099999999999999
6.75,48,-7.221,-0.10099999999999999
6.75,49,-7.23,-0.1
6.75,50,-7.146,-0.105
6.75,51,-7.077999999999999,-0.114
6.75,52,-6.997000000000001,-0.124
6.75,53,-6.9670000000000005,-0.125
6.75,54,-7.065,-0.11599999999999999
6.75,55,-7.1739999999999995,-0.10800000000000001
6.75,56,-7.256,-0.105
6.75,57,-7.346,-0.1
6.75,58,-7.445,-0.095
6.75,59,-7.5329999999999995,-0.09
6.75,60,-7.629,-0.084
6.75,61,-7.735,-0.078
6.75,62,-7.821000000000001,-0.067
6.75,63,-7.912999999999999,-0.059000000000000004
6.75,64,-8.025,-0.059000000000000004
6.75,65,-8.124,-0.057
6.75,66,-8.229,-0.05
6.75,67,-8.322000000000001,-0.040999999999999995
6.75,68,-8.419,-0.031
6.75,69,-8.524,-0.025
6.75,70,-8.635,-0.019
6.75,71,-8.749,-0.012
6.75,72,-8.867,0.006999999999999999
6.75,73,-8.98,0.025
6.75,74,-9.071,0.044000000000000004
6.75,75,-9.115,0.066
6.75,76,-9.157,0.10400000000000001
6.75,77,-9.186,0.151
6.75,78,-9.206,0.201
6.75,79,-9.216000000000001,0.255
6.75,80,-9.213,0.299
6.75,81,-9.198,0.34299999999999997
6.75,82,-9.115,0.379
6.75,83,-9.103,0.418
6.75,84,-9.076,0.455
6.75,85,-9.017999999999999,0.495
6.75,86,-9.008,0.528
6.75,87,-9.033,0.563
6.75,88,-9.013,0.593
6.75,89,-9.016,0.595
6.8,0,12.277000000000001,1.588
6.8,1,11.317,1.3880000000000001
6.8,2,10.713,1.288
6.8,3,10.245999999999999,1.218
6.8,4,9.841000000000001,1.158
6.8,5,9.432,1.113
6.8,6,9.02,1.025
6.8,7,8.591000000000001,0.9109999999999999
6.8,8,8.166,0.8190000000000001
6.8,9,7.766,0.7390000000000001
6.8,10,6.952999999999999,0.606
6.8,11,6.167000000000001,0.511
6.8,12,5.474,0.433
6.8,13,4.91,0.38
6.8,14,4.416,0.342
6.8,15,3.8810000000000002,0.3
6.8,16,3.465,0.265
6.8,17,3.102,0.22899999999999998
6.8,18,2.8,0.19
6.8,19,2.5140000000000002,0.142
6.8,20,2.263,0.09699999999999999
6.8,21,2.065,0.059000000000000004
6.8,22,1.9,0.032
6.8,23,1.8259999999999998,0.021
6.8,24,1.706,0.01
6.8,25,1.484,-0.015
6.8,26,1.155,-0.039
6.8,27,0.762,-0.057999999999999996
6.8,28,0.696,-0.061
6.8,29,0.6659999999999999,-0.062
6.8,30,0.32,-0.07400000000000001
6.8,31,0.003,-0.085
6.8,32,-0.259,-0.094
6.8,33,-0.507,-0.10099999999999999
6.8,34,-0.9490000000000001,-0.115
6.8,35,-1.33,-0.128
6.8,36,-1.6440000000000001,-0.136
6.8,37,-2.022,-0.145
6.8,38,-2.34,-0.151
6.8,39,-2.838,-0.161
6.8,40,-3.3539999999999996,-0.168
6.8,41,-3.545,-0.16899999999999998
6.8,42,-4.056,-0.17
6.8,43,-4.625,-0.16699999999999998
6.8,44,-5.227,-0.163
6.8,45,-5.997000000000001,-0.139
6.8,46,-6.466,-0.126
6.8,47,-6.84,-0.106
6.8,48,-6.82,-0.107
6.8,49,-6.702999999999999,-0.12300000000000001
6.8,50,-6.635,-0.129
6.8,51,-6.6,-0.131
6.8,52,-6.651,-0.127
6.8,53,-6.688,-0.126
6.8,54,-6.722,-0.124
6.8,55,-6.898,-0.109
6.8,56,-7.039,-0.10300000000000001
6.8,57,-7.183,-0.096
6.8,58,-7.3229999999999995,-0.087
6.8,59,-7.449,-0.08
6.8,60,-7.632000000000001,-0.06
6.8,61,-7.808,-0.057999999999999996
6.8,62,-8.025,-0.045
6.8,63,-8.258,-0.025
6.8,64,-8.454,-0.015
6.8,65,-8.621,0.009000000000000001
6.8,66,-8.754,0.031
6.8,67,-8.837,0.059000000000000004
6.8,68,-8.887,0.10800000000000001
6.8,69,-8.91,0.16
6.8,70,-8.906,0.195
6.8,71,-8.887,0.23600000000000002
6.8,72,-8.898,0.278
6.8,73,-8.902000000000001,0.307
6.8,74,-8.89,0.35700000000000004
6.8,75,-8.88,0.382
6.8,76,-8.881,0.405
6.8,77,-8.877,0.428
6.8,78,-8.87,0.44799999999999995
6.8,79,-8.863,0.46799999999999997
6.8,80,-8.845,0.486
6.8,81,-8.823,0.505
6.8,82,-8.804,0.517
6.8,83,-8.776,0.531
6.8,84,-8.751,0.5429999999999999
6.8,85,-8.727,0.552
6.8,86,-8.703,0.561
6.8,87,-8.674,0.5710000000000001
6.8,88,-8.64,0.584
6.8,89,-8.607999999999999,0.596
6.8,90,-8.568999999999999,0.611
6.8,91,-8.55,0.625
6.8,92,-8.56,0.636
6.8,93,-8.583,0.6459999999999999
6.8,94,-8.619,0.652
6.8,95,-8.641,0.6609999999999999
6.8,96,-8.642999999999999,0.674
6.85,0,12.277000000000001,1.588
6.85,1,11.317,1.3880000000000001
6.85,2,10.713,1.288
6.85,3,10.245999999999999,1.218
6.85,4,9.841000000000001,1.158
6.85,5,9.432,1.113
6.85,6,9.02,1.025
6.85,7,8.591000000000001,0.9109999999999999
6.85,8,8.166,0.8190000000000001
6.85,9,7.766,0.7390000000000001
6.85,10,6.952999999999999,0.606
6.85,11,6.167000000000001,0.512
6.85,12,5.474,0.433
6.85,13,4.91,0.38
6.85,14,4.416,0.34299999999999997
6.85,15,3.8810000000000002,0.3
6.85,16,3.465,0.265
6.85,17,3.102,0.23
6.85,18,2.8,0.19
6.85,19,2.5140000000000002,0.142
6.85,20,2.263,0.096
6.85,21,2.065,0.059000000000000004
6.85,22,1.9,0.032
6.85,23,1.8259999999999998,0.021
6.85,24,1.709,0.011000000000000001
6.85,25,1.484,-0.015
6.85,26,1.1540000000000001,-0.039
6.85,27,0.873,-0.053
6.85,28,0.695,-0.06
6.85,29,0.317,-0.07400000000000001
6.85,30,-0.0,-0.084
6.85,31,-0.264,-0.094
6.85,32,-0.514,-0.10099999999999999
6.85,33,-0.9590000000000001,-0.115
6.85,34,-1.344,-0.127
6.85,35,-1.516,-0.133
6.85,36,-2.046,-0.145
6.85,37,-2.195,-0.14800000000000002
6.85,38,-2.889,-0.159
6.85,39,-3.185,-0.16399999999999998
6.85,40,-3.6430000000000002,-0.16699999999999998
6.85,41,-3.863,-0.168
6.85,42,-4.471,-0.166
6.85,43,-4.906000000000001,-0.162
6.85,44,-4.971,-0.162
6.85,45,-5.693,-0.141
6.85,46,-6.127999999999999,-0.13
6.85,47,-6.442,-0.11699999999999999
6.85,48,-6.431,-0.11900000000000001
6.85,49,-6.332999999999999,-0.129
6.85,50,-6.271,-0.133
6.85,51,-6.237,-0.135
6.85,52,-6.29,-0.132
6.85,53,-6.343999999999999,-0.13
6.85,54,-6.399,-0.128
6.85,55,-6.5329999999999995,-0.12
6.85,56,-6.678999999999999,-0.10800000000000001
6.85,57,-6.803999999999999,-0.10300000000000001
6.85,58,-6.922999999999999,-0.09699999999999999
6.85,59,-7.029,-0.09
6.85,60,-7.183,-0.081
6.85,61,-7.3229999999999995,-0.067
6.85,62,-7.499,-0.059000000000000004
6.85,63,-7.6979999999999995,-0.052000000000000005
6.85,64,-7.8629999999999995,-0.035
6.85,65,-8.02,-0.024
6.85,66,-8.162,-0.016
6.85,67,-8.281,-0.009000000000000001
6.85,68,-8.383,0.015
6.85,69,-8.466000000000001,0.027000000000000003
6.85,70,-8.502,0.039
6.85,71,-8.523,0.057
6.85,72,-8.562999999999999,0.08
6.85,73,-8.587,0.106
6.85,74,-8.617,0.156
6.85,75,-8.634,0.19
6.85,76,-8.654,0.22399999999999998
6.85,77,-8.668,0.262
6.85,78,-8.677,0.3
6.85,79,-8.673,0.34
6.85,80,-8.658,0.384
6.85,81,-8.627,0.428
6.85,82,-8.595,0.45299999999999996
6.85,83,-8.55,0.47700000000000004
6.85,84,-8.506,0.496
6.85,85,-8.466000000000001,0.512
6.85,86,-8.415,0.531
6.85,87,-8.361,0.55
6.85,88,-8.301,0.57
6.85,89,-8.234,0.595
6.85,90,-8.152000000000001,0.628
6.85,91,-8.101,0.6629999999999999
6.85,92,-8.107999999999999,0.6940000000000001
6.85,93,-8.154,0.715
6.85,94,-8.232999999999999,0.723
6.85,95,-8.281,0.7390000000000001
6.85,96,-8.283999999999999,0.755
6.9,0,12.277000000000001,1.588
6.9,1,11.317,1.3880000000000001
6.9,2,10.713,1.288
6.9,3,10.245999999999999,1.218
6.9,4,9.841000000000001,1.158
6.9,5,9.432,1.113
6.9,6,9.02,1.025
6.9,7,8.591000000000001,0.9109999999999999
6.9,8,8.166,0.8190000000000001
6.9,9,7.766,0.7390000000000001
6.9,10,6.952999999999999,0.606
6.9,11,6.167000000000001,0.512
6.9,12,5.474,0.433
6.9,13,4.909,0.38
6.9,14,4.415,0.342
6.9,15,3.88,0.3
6.9,16,3.465,0.265
6.9,17,3.102,0.23
6.9,18,2.8,0.19
6.9,19,2.5140000000000002,0.142
6.9,20,2.263,0.096
6.9,21,2.065,0.059000000000000004
6.9,22,1.899,0.031
6.9,23,1.8259999999999998,0.021
6.9,24,1.712,0.011000000000000001
6.9,25,1.484,-0.015
6.9,26,1.1540000000000001,-0.039
6.9,27,0.985,-0.048
6.9,28,0.693,-0.06
6.9,29,0.314,-0.07400000000000001
6.9,30,-0.004,-0.084
6.9,31,-0.27,-0.094
6.9,32,-0.522,-0.102
6.9,33,-0.971,-0.115
