logt,num,r,Hindex
6.75,8,8.166,0.230345
6.75,9,7.766,0.21694499999999997
6.75,10,6.952999999999999,0.19552999999999998
6.75,11,6.167000000000001,0.180805
6.75,12,5.474,0.164915
6.75,13,4.91,0.1509
6.75,14,4.417,0.136965
6.75,15,3.8810000000000002,0.1195
6.75,16,3.465,0.102075
6.75,17,3.102,0.08289500000000001
6.75,18,2.8,0.05945
6.75,19,2.5140000000000002,0.029455000000000002
6.75,20,2.262,0.00248
6.75,21,2.064,-0.015455000000000002
6.75,22,1.9,-0.020595
6.75,23,1.8259999999999998,-0.0209
6.75,24,1.704,-0.01845
6.75,25,1.484,-0.009325
6.75,26,1.155,0.012555
6.75,27,0.6970000000000001,0.0397
6.75,28,0.555,0.045925
6.75,29,0.322,0.05313
6.75,30,0.006999999999999999,0.06258
6.75,31,-0.254,0.07003
6.75,32,-0.501,0.074745
6.75,33,-0.94,0.08042
6.75,34,-1.3159999999999998,0.08636
6.75,35,-1.7730000000000001,0.0913
6.75,36,-2.0,0.09377
6.75,37,-2.4859999999999998,0.099975
6.75,38,-2.7910000000000004,0.1022
6.75,39,-3.4589999999999996,0.10865
6.75,40,-3.4789999999999996,0.107895
6.75,41,-4.242,0.11438499999999999
6.75,42,-4.437,0.11614000000000001
6.75,43,-4.821000000000001,0.118405
6.75,44,-5.481,0.116935
6.75,45,-6.294,0.118565
6.75,46,-6.81,0.11364500000000001
6.75,47,-7.188,0.117745
6.75,48,-7.221,0.116745
6.75,49,-7.23,0.1165
6.8,0,12.277000000000001,0.29594000000000004
6.8,1,11.317,0.26794
6.8,2,10.713,0.25544
6.8,3,10.245999999999999,0.25359
6.8,4,9.841000000000001,0.25529
6.8,5,9.432,0.257315
6.8,6,9.02,0.249875
6.8,7,8.591000000000001,0.24180500000000002
6.8,8,8.166,0.230345
6.8,9,7.766,0.21694499999999997
6.8,10,6.952999999999999,0.19552999999999998
6.8,11,6.167000000000001,0.180805
6.8,12,5.474,0.165915
6.8,13,4.91,0.1509
6.8,14,4.416,0.13721
6.8,15,3.8810000000000002,0.1195
6.8,16,3.465,0.102075
6.8,17,3.102,0.08289500000000001
6.8,18,2.8,0.05945
6.8,19,2.5140000000000002,0.029210000000000003
6.8,20,2.263,0.003235
6.8,21,2.065,-0.014455
6.8,22,1.9,-0.02084
6.8,23,1.8259999999999998,-0.021144999999999997
6.8,24,1.706,-0.01845
6.8,25,1.484,-0.009325
6.8,26,1.155,0.013555000000000001
6.8,27,0.762,0.03621
6.8,28,0.696,0.038945
6.8,29,0.6659999999999999,0.04019
6.8,30,0.32,0.05413
6.8,31,0.003,0.062825
6.8,32,-0.259,0.06903
6.8,33,-0.507,0.074745
6.8,34,-0.9490000000000001,0.081175
6.8,35,-1.33,0.08536
6.8,36,-1.6440000000000001,0.08932000000000001
6.8,37,-2.022,0.093525
6.8,38,-2.34,0.097995
6.8,39,-2.838,0.10244500000000001
6.8,40,-3.3539999999999996,0.10715999999999999
6.8,41,-3.545,0.109405
6.8,42,-4.056,0.11265
6.8,43,-4.625,0.117915
6.8,44,-5.227,0.115935
6.8,45,-5.997000000000001,0.119055
6.8,46,-6.466,0.11287
6.8,47,-6.84,0.11897
6.8,48,-6.82,0.11921500000000002
6.8,49,-6.702999999999999,0.11313499999999999
6.8,50,-6.635,0.114605
6.8,51,-6.6,0.115095
6.8,52,-6.651,0.11411500000000001
6.8,53,-6.688,0.11287
6.8,54,-6.722,0.11238
6.8,55,-6.898,0.11970499999999999
6.8,56,-7.039,0.11823499999999999
6.8,57,-7.183,0.11552
6.8,58,-7.3229999999999995,0.11331500000000001
6.8,59,-7.449,0.1116
6.8,60,-7.632000000000001,0.1177
6.8,61,-7.808,0.10720999999999999
6.8,62,-8.025,0.103025
6.8,63,-8.258,0.102125
6.8,64,-8.454,0.090675
6.8,65,-8.621,0.087795
6.8,66,-8.754,0.07840499999999999
6.8,67,-8.837,0.072545
6.85,0,12.277000000000001,0.29594000000000004
6.85,1,11.317,0.26794
6.85,2,10.713,0.25544
6.85,3,10.245999999999999,0.25359
6.85,4,9.841000000000001,0.25529
6.85,5,9.432,0.257315
6.85,6,9.02,0.249875
6.85,7,8.591000000000001,0.24180500000000002
6.85,8,8.166,0.230345
6.85,9,7.766,0.21694499999999997
6.85,10,6.952999999999999,0.19552999999999998
6.85,11,6.167000000000001,0.18056
6.85,12,5.474,0.165915
6.85,13,4.91,0.1509
6.85,14,4.416,0.137965
6.85,15,3.8810000000000002,0.1195
6.85,16,3.465,0.102075
6.85,17,3.102,0.08265
6.85,18,2.8,0.05945
6.85,19,2.5140000000000002,0.029210000000000003
6.85,20,2.263,0.00248
6.85,21,2.065,-0.015455000000000002
6.85,22,1.9,-0.01984
6.85,23,1.8259999999999998,-0.021144999999999997
6.85,24,1.709,-0.018695
6.85,25,1.484,-0.009325
6.85,26,1.1540000000000001,0.012555
6.85,27,0.873,0.029985
6.85,28,0.695,0.0397
6.85,29,0.317,0.05313
6.85,30,-0.0,0.06258
6.85,31,-0.264,0.07003
6.85,32,-0.514,0.074745
6.85,33,-0.9590000000000001,0.081175
6.85,34,-1.344,0.086115
6.85,35,-1.516,0.087585
6.85,36,-2.046,0.094525
6.85,37,-2.195,0.09526
6.85,38,-2.889,0.10295499999999999
6.85,39,-3.185,0.10518
6.85,40,-3.6430000000000002,0.10991500000000001
6.85,41,-3.863,0.11116
6.85,42,-4.471,0.11567000000000001
6.85,43,-4.906000000000001,0.11669000000000002
6.85,44,-4.971,0.11569000000000002
6.85,45,-5.693,0.11754500000000001
6.85,46,-6.127999999999999,0.11385
6.85,47,-6.442,0.114665
6.85,48,-6.431,0.11415499999999999
6.85,49,-6.332999999999999,0.113605
6.85,50,-6.271,0.116585
6.85,51,-6.237,0.117075
6.85,52,-6.29,0.11534000000000001
6.85,53,-6.343999999999999,0.11485
6.85,54,-6.399,0.11335999999999999
6.85,55,-6.5329999999999995,0.1144
6.85,56,-6.678999999999999,0.11946
6.85,57,-6.803999999999999,0.11823499999999999
6.85,58,-6.922999999999999,0.115765
6.85,59,-7.029,0.11405
6.85,60,-7.183,0.111845
6.85,61,-7.3229999999999995,0.115415
6.85,62,-7.499,0.110455
6.85,63,-7.6979999999999995,0.10274000000000001
6.85,64,-7.8629999999999995,0.104575
6.85,65,-8.02,0.10088
6.85,66,-8.162,0.09292
6.85,67,-8.281,0.082205
6.85,68,-8.383,0.089325
6.85,69,-8.466000000000001,0.078385
6.85,70,-8.502,0.07444500000000001
6.85,71,-8.523,0.072035
6.85,72,-8.562999999999999,0.0684
6.9,0,12.277000000000001,0.29594000000000004
6.9,1,11.317,0.26794
6.9,2,10.713,0.25544
6.9,3,10.245999999999999,0.25359
6.9,4,9.841000000000001,0.25529
6.9,5,9.432,0.257315
6.9,6,9.02,0.250875
6.9,7,8.591000000000001,0.24180500000000002
6.9,8,8.166,0.230345
6.9,9,7.766,0.21694499999999997
6.9,10,6.952999999999999,0.19552999999999998
6.9,11,6.167000000000001,0.18056
6.9,12,5.474,0.165915
6.9,13,4.909,0.1509
6.9,14,4.415,0.13721
6.9,15,3.88,0.1195
6.9,16,3.465,0.102075
6.9,17,3.102,0.08265
6.9,18,2.8,0.05945
6.9,19,2.5140000000000002,0.029210000000000003
6.9,20,2.263,0.00248
6.9,21,2.065,-0.015455000000000002
6.9,22,1.899,-0.020595
6.9,23,1.8259999999999998,-0.020145
6.9,24,1.712,-0.018695
6.9,25,1.484,-0.008325
6.9,26,1.1540000000000001,0.013555000000000001
6.9,27,0.985,0.02376
6.9,28,0.693,0.0397
6.9,29,0.314,0.05313
6.9,30,-0.004,0.06258
6.9,31,-0.27,0.07003
6.9,32,-0.522,0.07399
6.9,33,-0.971,0.081175
6.9,34,-1.361,0.086115
6.9,35,-1.389,0.086605
6.9,36,-2.075,0.093525
6.9,37,-2.948,0.10295499999999999
6.9,38,-3.0180000000000002,0.1032
6.9,39,-3.7239999999999998,0.109425
6.9,40,-3.765,0.10967
6.9,41,-4.275,0.113425
6.9,42,-4.835,0.114955
6.9,43,-5.406000000000001,0.11703499999999999
6.9,44,-5.79,0.11634000000000001
6.9,45,-6.051,0.11311500000000001
6.9,46,-6.056,0.11311500000000001
6.9,47,-5.965,0.11634000000000001
6.9,48,-5.9079999999999995,0.11880999999999999
6.9,49,-5.874,0.120055
6.9,50,-5.928999999999999,0.11832000000000001
6.9,51,-6.002000000000001,0.116585
6.9,52,-6.0760000000000005,0.115095
6.9,53,-6.184,0.11287
6.9,54,-6.2989999999999995,0.11415499999999999
6.9,55,-6.422000000000001,0.11770499999999999
6.9,56,-6.523,0.11748
6.9,57,-6.612,0.1165
6.9,58,-6.733,0.11478499999999998
6.9,59,-6.841,0.11307
6.9,60,-6.968999999999999,0.111355
6.9,61,-7.109,0.11619000000000002
6.9,62,-7.234,0.1097
6.9,63,-7.36,0.10396500000000002
6.9,64,-7.484,0.10351500000000001
6.9,65,-7.599,0.105575
6.9,66,-7.718,0.10261500000000001
6.9,67,-7.827999999999999,0.0969
6.9,68,-7.901,0.09192
6.9,69,-7.97,0.084695
6.9,70,-8.048,0.086265
6.9,71,-8.107999999999999,0.08807999999999999
6.9,72,-8.208,0.07565
6.9,73,-8.262,0.071975
6.9,74,-8.302999999999999,0.06785
6.95,0,12.277000000000001,0.29594000000000004
6.95,1,11.317,0.26794
6.95,2,10.713,0.25544
6.95,3,10.245999999999999,0.25359
6.95,4,9.841000000000001,0.25529
6.95,5,9.432,0.25706999999999997
6.95,6,9.02,0.250875
6.95,7,8.591000000000001,0.24180500000000002
6.95,8,8.166,0.230345
6.95,9,7.766,0.21694499999999997
6.95,10,6.952999999999999,0.19552999999999998
6.95,11,6.167000000000001,0.18056
6.95,12,5.474,0.165915
6.95,13,4.909,0.1509
6.95,14,4.414,0.13721
6.95,15,3.88,0.1195
6.95,16,3.465,0.102075
6.95,17,3.102,0.08365
6.95,18,2.8,0.06045
6.95,19,2.5140000000000002,0.029210000000000003
6.95,20,2.2640000000000002,0.00248
6.95,21,2.066,-0.015455000000000002
6.95,22,1.899,-0.01984
6.95,23,1.825,-0.0209
6.95,24,1.715,-0.018695
6.95,25,1.483,-0.00908
6.95,26,1.153,0.012555
6.95,27,1.0979999999999999,0.01629
6.95,28,0.691,0.0397
6.95,29,0.311,0.053885
6.95,30,-0.009000000000000001,0.06258
6.95,31,-0.27699999999999997,0.06903
6.95,32,-0.53,0.074745
6.95,33,-0.9840000000000001,0.08192999999999999
6.95,34,-1.2429999999999999,0.085135
6.95,35,-1.379,0.086115
6.95,36,-2.024,0.093035
6.95,37,-2.113,0.09427999999999999
6.95,38,-2.9010000000000002,0.10246500000000001
6.95,39,-3.029,0.10371
6.95,40,-3.553,0.10769000000000001
6.95,41,-3.935,0.10993499999999999
6.95,42,-4.08,0.11169000000000001
6.95,43,-4.637,0.11322
6.95,44,-5.236000000000001,0.11554500000000001
6.95,45,-5.563,0.11634000000000001
6.95,46,-5.7410000000000005,0.114605
6.95,47,-5.731,0.11485
6.95,48,-5.6339999999999995,0.117565
6.95,49,-5.5760000000000005,0.11903499999999999
6.95,50,-5.557,0.11828
6.95,51,-5.612,0.118055
6.95,52,-5.709,0.117075
6.95,53,-5.787000000000001,0.115585
6.95,54,-5.8629999999999995,0.114605
6.95,55,-5.946000000000001,0.11287
6.95,56,-6.028,0.11264500000000001
6.95,57,-6.14,0.11644000000000002
6.95,58,-6.233,0.11621500000000001
6.95,59,-6.317,0.11623499999999999
6.95,60,-6.351,0.1165
6.95,61,-6.436,0.11552
6.95,62,-6.5089999999999995,0.11429500000000001
6.95,63,-6.586,0.11307
6.95,64,-6.689,0.110845
6.95,65,-6.778,0.11188499999999998
6.95,66,-6.846,0.113925
6.95,67,-6.943,0.111945
6.95,68,-7.024,0.107455
6.95,69,-7.132999999999999,0.10172
6.95,70,-7.2170000000000005,0.103005
6.95,71,-7.275,0.10353499999999999
6.95,72,-7.359,0.10533
6.95,73,-7.421,0.10486
6.95,74,-7.483,0.102125
6.95,75,-7.577000000000001,0.0969
6.95,76,-7.642,0.09292
6.95,77,-7.706,0.08594
6.95,78,-7.792000000000001,0.085755
6.95,79,-7.857,0.087325
6.95,80,-7.942,0.07562999999999999
6.95,81,-7.989,0.07095499999999999
6.95,82,-8.024,0.06805499999999999
7.0,0,12.277000000000001,0.29594000000000004
7.0,1,11.317,0.26794
7.0,2,10.713,0.25544
7.0,3,10.245999999999999,0.25359
7.0,4,9.841000000000001,0.25529
7.0,5,9.432,0.25706999999999997
7.0,6,9.02,0.250875
7.0,7,8.591000000000001,0.24180500000000002
7.0,8,8.166,0.230345
7.0,9,7.766,0.21694499999999997
7.0,10,6.952999999999999,0.19552999999999998
7.0,11,6.167000000000001,0.18056
7.0,12,5.473,0.16516
7.0,13,4.908,0.1509
7.0,14,4.413,0.13721
7.0,15,3.8789999999999996,0.119745
7.0,16,3.465,0.102075
7.0,17,3.102,0.08365
7.0,18,2.799,0.05945
7.0,19,2.5140000000000002,0.029210000000000003
7.0,20,2.265,0.003235
7.0,21,2.0669999999999997,-0.0147
7.0,22,1.8980000000000001,-0.020595
7.0,23,1.825,-0.021144999999999997
7.0,24,1.7180000000000002,-0.018695
7.0,25,1.483,-0.009325
7.0,26,1.189,0.010065000000000001
7.0,27,1.1520000000000001,0.012555
7.0,28,0.688,0.0387
7.0,29,0.307,0.053885
7.0,30,-0.013999999999999999,0.06258
7.0,31,-0.284,0.069785
7.0,32,-0.54,0.074745
7.0,33,-0.9990000000000001,0.08192999999999999
7.0,34,-1.122,0.08291
7.0,35,-1.4,0.086115
7.0,36,-1.893,0.092055
7.0,37,-2.155,0.09503500000000001
7.0,38,-2.7510000000000003,0.101485
7.0,39,-3.127,0.10422000000000001
7.0,40,-3.3819999999999997,0.10570999999999998
7.0,41,-3.948,0.10970999999999999
7.0,42,-4.177,0.11122
7.0,43,-4.438,0.11173
7.0,44,-5.025,0.11354500000000001
7.0,45,-5.3420000000000005,0.11458499999999999
7.0,46,-5.515,0.113605
7.0,47,-5.511,0.11485
7.0,48,-5.41,0.11632
7.0,49,-5.355,0.11779
7.0,50,-5.337000000000001,0.11728
7.0,51,-5.382999999999999,0.1163
7.0,52,-5.476,0.116075
7.0,53,-5.555,0.11634000000000001
7.0,54,-5.635,0.114605
7.0,55,-5.718999999999999,0.11287
7.0,56,-5.806,0.11264500000000001
7.0,57,-5.917000000000001,0.11444000000000001
7.0,58,-6.013,0.11521500000000001
7.0,59,-6.104,0.11499000000000001
7.0,60,-6.142,0.1145
7.0,61,-6.228,0.11503
7.0,62,-6.307,0.11380499999999999
7.0,63,-6.391,0.11258
7.0,64,-6.492999999999999,0.11110999999999999
7.0,65,-6.587999999999999,0.11190499999999999
7.0,66,-6.662999999999999,0.11168
7.0,67,-6.7589999999999995,0.1087
7.0,68,-6.845,0.104965
7.0,69,-6.95,0.102495
7.0,70,-7.042000000000001,0.10429000000000001
7.0,71,-7.104,0.10482000000000001
7.0,72,-7.185,0.10486
7.0,73,-7.252999999999999,0.101125
7.0,74,-7.32,0.09814500000000001
7.0,75,-7.4079999999999995,0.091675
7.0,76,-7.477,0.08545
7.0,77,-7.544,0.084755
7.05,0,12.277000000000001,0.29594000000000004
7.05,1,11.317,0.26794
7.05,2,10.713,0.25544
7.05,3,10.245999999999999,0.25359
7.05,4,9.841000000000001,0.25529
7.05,5,9.432,0.25706999999999997
7.05,6,9.02,0.250875
7.05,7,8.591000000000001,0.24180500000000002
7.05,8,8.166,0.230345
7.05,9,7.766,0.21694499999999997
7.05,10,6.952999999999999,0.19552999999999998
7.05,11,6.167000000000001,0.18056
7.05,12,5.473,0.164915
7.05,13,4.908,0.1509
7.05,14,4.412,0.13721
7.05,15,3.8789999999999996,0.1195
7.05,16,3.465,0.102075
7.05,17,3.1010000000000004,0.08289500000000001
7.05,18,2.799,0.05945
7.05,19,2.5140000000000002,0.03021
7.05,20,2.265,0.00248
7.05,21,2.0669999999999997,-0.015455000000000002
7.05,22,1.8980000000000001,-0.01984
7.05,23,1.825,-0.021144999999999997
7.05,24,1.722,-0.018695
7.05,25,1.483,-0.009325
7.05,26,1.2990000000000002,0.003105
7.05,27,1.151,0.013309999999999999
7.05,28,0.685,0.0387
7.05,29,0.302,0.05313
7.05,30,-0.02,0.06258
7.05,31,-0.292,0.069785
7.05,32,-0.551,0.074745
7.05,33,-0.997,0.08093
7.05,34,-1.016,0.08093
7.05,35,-1.423,0.086115
7.05,36,-1.764,0.09032000000000001
7.05,37,-2.2030000000000003,0.09503500000000001
7.05,38,-2.603,0.099505
7.05,39,-3.241,0.104975
7.05,40,-3.7769999999999997,0.10822000000000001
7.05,41,-4.301,0.10975
7.05,42,-4.569,0.11127999999999999
7.05,43,-4.813,0.112055
7.05,44,-5.12,0.11334000000000001
7.05,45,-5.287000000000001,0.113605
7.05,46,-5.289,0.113605
7.05,47,-5.186,0.11432
7.05,48,-5.135,0.11603499999999999
7.05,49,-5.117,0.11628
7.05,50,-5.153,0.1153
7.05,51,-5.242000000000001,0.115075
7.05,52,-5.321000000000001,0.11458499999999999
7.05,53,-5.407,0.113605
7.05,54,-5.492999999999999,0.11187000000000001
7.05,55,-5.582999999999999,0.1114
7.05,56,-5.693,0.11344000000000001
7.05,57,-5.792999999999999,0.11421500000000001
7.05,58,-5.892,0.113745
7.05,59,-5.932,0.11400999999999999
7.05,60,-6.02,0.112785
7.05,61,-6.106,0.11256
7.05,62,-6.196000000000001,0.11109000000000001
7.05,63,-6.297999999999999,0.11062000000000001
7.05,64,-6.399,0.11141500000000001
7.05,65,-6.48,0.10943499999999999
7.05,66,-6.574,0.105455
7.05,67,-6.667000000000001,0.10172
7.05,68,-6.767,0.10327
7.05,69,-6.865,0.105575
7.05,70,-6.933,0.10510499999999999
7.05,71,-7.01,0.102125
7.05,72,-7.082000000000001,0.09714500000000001
7.05,73,-7.155,0.09292
7.05,74,-7.236000000000001,0.084695
7.05,75,-7.306,0.08451
7.05,76,-7.375,0.08507999999999999
7.05,77,-7.445,0.073385
7.05,78,-7.497999999999999,0.066485
7.05,79,-7.537000000000001,0.06491
7.1,0,12.277000000000001,0.29594000000000004
7.1,1,11.317,0.26794
7.1,2,10.713,0.25544
7.1,3,10.245999999999999,0.25359
7.1,4,9.841000000000001,0.25529
7.1,5,9.432,0.25706999999999997
7.1,6,9.02,0.250875
7.1,7,8.591000000000001,0.24180500000000002
7.1,8,8.166,0.230345
