#r,Jmag,J_H
6.71994,16.482,0.21700096
7.13772,15.717,0.4250002
8.34918,16.162,0.72900105
8.18814,15.894,0.5290003
7.823640000000001,14.626,0.5600004
5.88606,15.718,0.45800018
7.529459999999999,13.866,0.83600044
8.95068,16.398,0.6850004
8.95482,16.056,0.32800007
7.762260000000001,16.357,0.12100029
6.756060000000001,11.221,0.974
8.24424,16.475,0.8980007
7.40298,16.249,0.84900093
6.68658,15.87,0.47200012
7.87308,16.649,0.37000084
6.210839999999999,16.545,1.1850004
6.77658,16.199,0.93099976
6.05478,16.857,0.7819996
5.64258,15.792,0.6119995
8.25762,14.65,0.6539993
6.1095,16.344,0.5880003
8.51562,16.256,0.49300098
7.04436,11.478,0.8409996
6.60072,15.53,0.52400017
5.3920200000000005,12.688,0.42199993
7.5204,15.534,0.83200073
6.9249600000000004,13.968,0.3180008
8.78958,12.907,0.6529999
6.20448,16.509,0.51200104
8.041680000000001,16.263,0.46000004
7.0362,16.682,0.41199875
7.905479999999999,16.775,0.60299873
8.0694,15.377,0.58399963
8.770019999999999,16.142,0.7250004
8.115359999999999,16.839,0.953001
7.740360000000001,14.682,0.7720003
6.98874,15.701,0.53999996
7.31316,15.725,0.95000076
5.253240000000001,16.671,0.54999924
7.1607,14.494,0.78999996
5.26614,16.139,0.7670002
6.052619999999999,13.488,0.52299976
5.851979999999999,16.878,0.7199993
8.47278,14.59,0.48600006
6.07056,15.909,0.49300003
7.714980000000001,12.184,0.9289999
5.3811,15.475,0.691
7.62354,15.834,0.64199924
8.3511,16.637,0.36899948
7.99476,16.016,0.67500114
5.90778,12.449,0.77400017
7.4082,16.742,0.9190006
6.6966600000000005,16.299,0.81699944
7.09788,16.566,0.92199993
8.41662,15.885,0.908
7.76808,15.975,1.0100002
7.01016,16.479,0.6420002
5.63472,16.037,0.7850008
8.136,16.653,1.0719995
8.25954,15.451,0.6160002
7.737120000000001,16.592,0.64599895
7.45512,15.108,0.64799976
6.8674800000000005,14.126,0.87900066
6.6710400000000005,15.142,0.71600056
5.64954,15.905,0.8210001
6.63,16.942,0.8640003
6.34152,15.893,0.7220001
8.6745,15.417,0.6339998
7.996980000000001,16.377,0.6330004
6.3948,16.671,0.62199974
5.63736,14.991,0.85700035
6.665220000000001,13.986,0.7209997
8.17926,10.716,0.43099976
7.617300000000001,15.621,0.8800001
6.2731200000000005,14.456,0.5250006
5.6253,16.432,0.61399937
5.69574,16.628,0.8579998
6.0925199999999995,11.972,0.31200027
8.70816,12.757,0.48799992
8.628120000000001,16.328,0.9689989
7.1029800000000005,16.866,0.92399883
6.3003,14.187,0.6220007
6.66432,15.172,0.6859999
5.9229,14.993,0.60999966
6.079199999999999,16.055,0.50699997
8.60358,16.271,0.8330002
5.9535599999999995,16.504,0.9379997
7.946400000000001,16.224,0.7300005
8.54076,16.448,0.84399986
6.8232,15.996,0.34500027
